collection_name,collection_url,collection_slug,product_name,product_url,slug,description,raw_material,material_name,short_description,design_style,raw_color,color_name,color_group,usage_context,price,thumbnail_url,gallery_urls,crawl_at,error
Thanh Xuân,https://xeoxo.com/vn/danh-muc/thanh-xuan/,thanh-xuan,Áo Choàng Hồng Mây,https://xeoxo.com/vn/san-pham/ao-choang-hong-may/,ao-choang-hong-may,nan,Organza,Organza,"Chất liệu mỏng nhẹ, hơi trong, có độ phồng tự nhiên, thường tạo cảm giác thanh thoát và trang trọng.",Áo choàng dài tay loe,Hồng,Hồng,Hồng,"Thiết kế đơn giản được chú trọng vào các chi tiết về họa tiết đơn giản nhưng không kém phần nổi bật, phù hợp sử dụng được cho nhiều dịp khác nhau từ hàng ngày đến trọng đại.",890000,https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/DSC01379-1.jpg,"[""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/DSC01379-1.jpg"", ""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/DSC01326-1.jpg"", ""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/DSC01331-1.jpg"", ""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/DSC01346-1.jpg"", ""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/DSC01368-1.jpg"", ""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/DSC01350-1.jpg"", ""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/DSC01356-1.jpg"", ""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/DSC01348-1.jpg"", ""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/DSC04176.jpg"", ""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/DSC04038.jpg"", ""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/DSC04099.jpg"", ""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/DSC04145.jpg"", ""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/DSC04074.jpg"", ""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/DSC04387.jpg"", ""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/DSC04390.jpg""]",2026-06-27 15:59:16,nan
La Khê,https://xeoxo.com/vn/danh-muc/la-khe/,la-khe,Đầm Uyên Đan,https://xeoxo.com/vn/san-pham/dam-uyen-dan/,dam-uyen-dan,nan,Lụa tổng hợp dệt kim tuyến,Lụa tổng hợp,"Chất liệu mềm, nhẹ, có độ rũ vừa phải, dễ tạo phom và phù hợp với các thiết kế cần sự thanh thoát.",Đầm dài dáng cổ yếm,Hồng sen,Hồng sen,Hồng,"Thiết kế đơn giản được chú trọng vào các chi tiết về họa tiết đơn giản nhưng không kém phần nổi bật, phù hợp sử dụng được cho nhiều dịp khác nhau từ hàng ngày đến trọng đại.",1650000,https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/7_image-4.jpg,"[""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/7_image-4.jpg"", ""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/7_image5.jpg"", ""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/7_image-2.jpg"", ""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/7_image-1.jpg"", ""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/7_image-3.jpg""]",2026-06-27 15:59:18,nan
La Khê,https://xeoxo.com/vn/danh-muc/la-khe/,la-khe,Yếm Dạ Thư,https://xeoxo.com/vn/san-pham/yem-da-thu/,yem-da-thu,nan,Lụa tổng hợp dệt hoạ tiết lót organza,Lụa tổng hợp và Organza,"Sự kết hợp giữa độ mềm rũ của lụa tổng hợp và độ nhẹ, trong, bay của Organza, tạo hiệu ứng nhiều lớp tinh tế.",Yếm tà dài hở lưng,Hồng,Hồng,Hồng,"Thiết kế đơn giản được chú trọng vào các chi tiết về họa tiết đơn giản nhưng không kém phần nổi bật, phù hợp sử dụng được cho nhiều dịp khác nhau từ hàng ngày đến trọng đại.",3700000,https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/6_y22.jpg,"[""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/6_y22.jpg"", ""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/6_y23-copy.jpg"", ""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/6_y24.jpg"", ""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/6_y21.jpg"", ""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/6_y25.jpg""]",2026-06-27 15:59:19,nan
La Khê,https://xeoxo.com/vn/danh-muc/la-khe/,la-khe,Áo dài Ngọc Khê – Yên Hoàng,https://xeoxo.com/vn/san-pham/ao-dai-ngoc-khe-yen-hoang/,ao-dai-ngoc-khe-yen-hoang,nan,Lớp áo ngoài: Lụa tổng hợp dệt hoạ tiết Lớp áo trong: Organza siêu nhẹ,Lụa tổng hợp và Organza,"Sự kết hợp giữa độ mềm rũ của lụa tổng hợp và độ nhẹ, trong, bay của Organza, tạo hiệu ứng nhiều lớp tinh tế.",Áo dài dáng suông tay loe dài,Xanh ngọc,Xanh ngọc,Xanh,"Thiết kế đơn giản được chú trọng vào các chi tiết về họa tiết đơn giản nhưng không kém phần nổi bật, phù hợp sử dụng được cho nhiều dịp khác nhau từ hàng ngày đến trọng đại.",4600000,https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/1_121_.jpg,"[""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/1_121_.jpg"", ""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/1_131_.jpg"", ""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/1_l11_.jpg"", ""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/1_141_.jpg"", ""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/1_151_.jpg""]",2026-06-27 15:59:21,nan
La Khê,https://xeoxo.com/vn/danh-muc/la-khe/,la-khe,Áo dài Tú Khê – Yên Như,https://xeoxo.com/vn/san-pham/ao-dai-tu-khe-yen-nhu/,ao-dai-tu-khe-yen-nhu,nan,Lớp áo ngoài: Lụa tổng hợp dệt hoạ tiết Lớp áo trong: Organza siêu nhẹ,Lụa tổng hợp và Organza,"Sự kết hợp giữa độ mềm rũ của lụa tổng hợp và độ nhẹ, trong, bay của Organza, tạo hiệu ứng nhiều lớp tinh tế.",Áo dài dáng suông tay loe dài,Hồng,Hồng,Hồng,"Thiết kế đơn giản được chú trọng vào các chi tiết về họa tiết đơn giản nhưng không kém phần nổi bật, phù hợp sử dụng được cho nhiều dịp khác nhau từ hàng ngày đến trọng đại.",4600000,https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/4_image-5.jpg,"[""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/4_image-5.jpg"", ""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/4_image-1a.jpg"", ""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/4_image-4.jpg"", ""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/4_image-3a.jpg"", ""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/4_image-2.jpg""]",2026-06-27 15:59:22,nan
La Khê,https://xeoxo.com/vn/danh-muc/la-khe/,la-khe,Áo dài Vân Khê – Yên Hải,https://xeoxo.com/vn/san-pham/ao-dai-van-khe-yen-hai/,ao-dai-van-khe-yen-hai,nan,Lớp áo ngoài: Lụa tổng hợp dệt hoạ tiết Lớp áo trong: Organza siêu nhẹ,Lụa tổng hợp và Organza,"Sự kết hợp giữa độ mềm rũ của lụa tổng hợp và độ nhẹ, trong, bay của Organza, tạo hiệu ứng nhiều lớp tinh tế.",Áo dài dáng suông tay loe dài,Xanh cốm,Xanh cốm,Xanh,"Thiết kế đơn giản được chú trọng vào các chi tiết về họa tiết đơn giản nhưng không kém phần nổi bật, phù hợp sử dụng được cho nhiều dịp khác nhau từ hàng ngày đến trọng đại.",4600000,https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/2_24-copy.jpg,"[""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/2_24-copy.jpg"", ""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/2_22.jpg"", ""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/2_21.jpg"", ""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/2_23.jpg"", ""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/2_25.jpg""]",2026-06-27 15:59:23,nan
La Khê,https://xeoxo.com/vn/danh-muc/la-khe/,la-khe,Áo dài Thanh Khê – Yên Lam,https://xeoxo.com/vn/san-pham/ao-dai-thanh-khe-yen-lam/,ao-dai-thanh-khe-yen-lam,nan,Lớp áo ngoài: Lụa tổng hợp dệt hoạ tiết Lớp áo trong: Organza siêu nhẹ,Lụa tổng hợp và Organza,"Sự kết hợp giữa độ mềm rũ của lụa tổng hợp và độ nhẹ, trong, bay của Organza, tạo hiệu ứng nhiều lớp tinh tế.",Áo dài dáng suông tay loe dài,Xanh biển nhạt,Xanh biển nhạt,Xanh,"Thiết kế đơn giản được chú trọng vào các chi tiết về họa tiết đơn giản nhưng không kém phần nổi bật, phù hợp sử dụng được cho nhiều dịp khác nhau từ hàng ngày đến trọng đại.",4600000,https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/3_41.jpg,"[""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/3_41.jpg"", ""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/3_45-copy.jpg"", ""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/3_43.jpg"", ""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/3_44.jpg"", ""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/3_42.jpg""]",2026-06-27 15:59:25,nan
La Khê,https://xeoxo.com/vn/danh-muc/la-khe/,la-khe,Áo Lam Khanh,https://xeoxo.com/vn/san-pham/ao-lam-khanh/,ao-lam-khanh,nan,Lụa tổng hợp dệt hoạ tiết lót lụa habutai,Lụa tổng hợp,"Chất liệu mềm, nhẹ, có độ rũ vừa phải, dễ tạo phom và phù hợp với các thiết kế cần sự thanh thoát.",Yếm hở lưng,Xanh ngọc,Xanh ngọc,Xanh,"Thiết kế đơn giản được chú trọng vào các chi tiết về họa tiết đơn giản nhưng không kém phần nổi bật, phù hợp sử dụng được cho nhiều dịp khác nhau từ hàng ngày đến trọng đại.",1490000,https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/5_image-4.jpg,"[""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/5_image-4.jpg"", ""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/5_image-3.jpg"", ""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/5_image-2.jpg"", ""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/5_image-1.jpg"", ""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/5_image-5.jpg""]",2026-06-27 15:59:26,nan
La Khê,https://xeoxo.com/vn/danh-muc/la-khe/,la-khe,Chân Váy Lam Khanh,https://xeoxo.com/vn/san-pham/chan-vay-lam-khanh/,chan-vay-lam-khanh,nan,"Lụa tổng hợp dệt hoạ tiết, lót lụa habutai",Lụa tổng hợp,"Chất liệu mềm, nhẹ, có độ rũ vừa phải, dễ tạo phom và phù hợp với các thiết kế cần sự thanh thoát.",Chân váy xòe bồng,Xanh ngọc,Xanh ngọc,Xanh,"Thiết kế đơn giản được chú trọng vào các chi tiết về họa tiết đơn giản nhưng không kém phần nổi bật, phù hợp sử dụng được cho nhiều dịp khác nhau từ hàng ngày đến trọng đại.",2450000,https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/5_image-3.jpg,"[""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/5_image-3.jpg"", ""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/5_image-2.jpg"", ""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/5_image-1.jpg""]",2026-06-27 15:59:27,nan
Dao Ngọc Các,https://xeoxo.com/vn/danh-muc/dao-ngoc-cac/,dao-ngoc-cac,Áo Choàng Nhật Bình Yên Chi,https://xeoxo.com/vn/san-pham/ao-choang-nhat-binh-yen-chi/,ao-choang-nhat-binh-yen-chi,nan,"Organza dệt chìm hoạ tiết, đính kết thủ công",Organza,"Chất liệu mỏng nhẹ, hơi trong, có độ phồng tự nhiên, thường tạo cảm giác thanh thoát và trang trọng.",Áo choàng Nhật Bình đuôi dài,Kem,Kem,Kem,"Dùng trong lễ cưới, sự kiện trang trọng",14450000,https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/2-scaled.jpg,"[""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/2-scaled.jpg"", ""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/1-scaled.jpg"", ""https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/3-scaled.jpg""]",2026-06-27 15:59:28,nan
